"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Nadeo...clean sheet #PERSIBDAY https://t.co/JQD1SEn9Q2",FALSE,0,NA,2021-11-25 13:48:26,FALSE,NA,"1463867176608092161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nurhadination",0,FALSE,FALSE,NA,NA
"RT @TimnasIndoInfo: Update Skor
@BaliUtd U-18 1-0 @persib U-18
Agung Dwi 19'

#FinalMolaEPA2021 #BaliUnitedDay #PERSIBDAY #Trending #twitte…",FALSE,0,NA,2021-11-25 10:58:53,FALSE,NA,"1463824507496382468",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","TiffaNadia",1,TRUE,FALSE,NA,NA
"Update Skor
@BaliUtd U-18 1-0 @persib U-18
Agung Dwi 19'

#FinalMolaEPA2021 #BaliUnitedDay #PERSIBDAY #Trending… https://t.co/KWUTDAFwVQ",FALSE,1,NA,2021-11-25 08:53:37,TRUE,NA,"1463792980498653191",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TimnasIndoInfo",1,FALSE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-25 00:26:49,FALSE,NA,"1463665441348341762",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ravico27",22,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 23:51:32,FALSE,NA,"1463656560828170240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SB_Se7enEi8ht",30,TRUE,FALSE,NA,NA
"RT @persib: #PERSIBDAY Pekan ke-13!

Bounce back to the winning track! 🔥🔵

#PERSIB https://t.co/mUNJhTXff6",FALSE,0,NA,2021-11-24 22:15:59,FALSE,NA,"1463632514388422658",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LayalaKmdty",51,TRUE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 22:08:54,FALSE,NA,"1463630731553374212",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sheashellaaaa",22,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 22:08:50,FALSE,NA,"1463630717099773954",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sheashellaaaa",30,TRUE,FALSE,NA,NA
"RT @persib: GOOOOOLLL!! ANOTHER ONE!!

GEOFFREY CASTILLION!

Persiraja 0 - 2 PERSIB

#PERSIBDAY #PERSIBLIVE",FALSE,0,NA,2021-11-24 22:07:50,FALSE,NA,"1463630466787938304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sheashellaaaa",8,TRUE,FALSE,NA,NA
"RT @persib: GOOOOOLL! IT'S MARC KLOK WITH A GLORIOUS FREEKICK!!

Persiraja 0 - 1 PERSIB!

#PERSIBDAY #PERSIBLIVE",FALSE,0,NA,2021-11-24 22:07:45,FALSE,NA,"1463630443194896388",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sheashellaaaa",15,TRUE,FALSE,NA,NA
"Tiga points guys #persibday https://t.co/8SB7flP0Ee",FALSE,0,NA,2021-11-24 15:55:53,FALSE,NA,"1463536860685221893",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jangcityx",0,FALSE,FALSE,NA,NA
"3 Point! #PersibDay 🐯🔵 https://t.co/9aed5qvpKU",FALSE,1,NA,2021-11-24 15:49:18,FALSE,NA,"1463535204656553984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IMOSYAA",0,FALSE,FALSE,NA,NA
"RT @TheNewRealIS69: Back to track of victory Persib
0-4
Get well soon Ramadhan of Persiraja

 #PersibDay",FALSE,0,NA,2021-11-24 15:43:18,FALSE,NA,"1463533693729792001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kopihideung0011",1,TRUE,FALSE,NA,NA
"Back to track of victory Persib
0-4
Get well soon Ramadhan of Persiraja

 #PersibDay",FALSE,5,NA,2021-11-24 15:43:03,FALSE,NA,"1463533629632512000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheNewRealIS69",1,FALSE,FALSE,NA,NA
"It was an expected win…. Well played lads…. #persibday",FALSE,1,NA,2021-11-24 15:40:24,FALSE,NA,"1463532964483006464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chendipriyatna",0,FALSE,FALSE,NA,NA
"3 poin! #PersibDay https://t.co/gi2bQecOAy",FALSE,0,NA,2021-11-24 15:40:17,FALSE,NA,"1463532933419986946",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","iam_dioo",0,FALSE,FALSE,NA,NA
"Abdul Aziz is just Van de Beek’s Solskjaer #PERSIBDAY",FALSE,1,NA,2021-11-24 15:37:02,FALSE,NA,"1463532118907052045",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MRayhandhra",0,FALSE,FALSE,NA,NA
"Good game #PERSIBDAY",FALSE,1,NA,2021-11-24 15:31:49,FALSE,NA,"1463530802696765443",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YusupIs30828371",0,FALSE,FALSE,NA,NA
"WANDER GOAL!!! 4-0. #PERSIBDAY",FALSE,2,NA,2021-11-24 14:53:56,FALSE,NA,"1463521270595686400",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LalajoPersib",1,FALSE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:42:40,FALSE,NA,"1463518435829116936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PilrasN",30,TRUE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:34:34,FALSE,NA,"1463516396390785024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Laluvice",22,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:34:19,FALSE,NA,"1463516332226277385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Laluvice",30,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:33:44,FALSE,NA,"1463516187019530242",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rdnfachri",30,TRUE,FALSE,NA,NA
"come on #persibday https://t.co/UlUdV3aNlg",FALSE,0,NA,2021-11-24 14:29:37,FALSE,NA,"1463515152448253955",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","balse6690",0,FALSE,FALSE,NA,NA
"Part 3 : Benefit vs Feature

#PaketAkrab 
#SaudiArabianGP 
#PERSIBDAY 
#Hawkeye https://t.co/IBOIA3N2wr",FALSE,1,NA,2021-11-24 14:25:43,FALSE,NA,"1463514171656392710",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tenplusstory",0,FALSE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:24:30,FALSE,NA,"1463513864973078529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarshaShania14",22,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:23:43,FALSE,NA,"1463513666981040134",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarshaShania14",30,TRUE,FALSE,NA,NA
"klok, castillion, wonder, who’s next? #PERSIBDAY #PRJPSB #BRILiga1 👌👍",FALSE,0,NA,2021-11-24 14:22:20,FALSE,NA,"1463513320292438018",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ryan_Ramirez",0,FALSE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:22:19,FALSE,NA,"1463513314026082306",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DioMahendra824",22,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:21:15,FALSE,NA,"1463513044466630659",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Erviinms",30,TRUE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:21:08,FALSE,NA,"1463513017061023750",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Erviinms",22,TRUE,FALSE,NA,NA
"3 point!!! #PERSIBDAY",FALSE,0,NA,2021-11-24 14:21:08,FALSE,NA,"1463513014615769098",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ipitnrl",0,FALSE,FALSE,NA,NA
"Proses goal mang castilion 🔥
#PERSIBDAY https://t.co/JVVQdpr01l",FALSE,0,NA,2021-11-24 14:20:41,FALSE,NA,"1463512903433084945",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Persib_Day",0,FALSE,FALSE,NA,NA
"WANDER LUIZ GOALLL 0-3 For PERSIB #PersibDAY",FALSE,0,NA,2021-11-24 14:20:01,FALSE,NA,"1463512733911896071",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fwzanarya",0,FALSE,FALSE,NA,NA
"counter attack 🔥🔥🔥 
febri bow ➡️ frets ➡️  wander luizzzzzzz #persibday",FALSE,0,"onieronny",2021-11-24 14:19:29,FALSE,"1463511218732224515","1463512601938202631","22164666","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","onieronny",0,FALSE,FALSE,NA,NA
"GOLL Deui wanderfull ...
#PERSIBDAY https://t.co/cFmui5Kz9i",FALSE,1,NA,2021-11-24 14:19:08,FALSE,NA,"1463512512217829379",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bamdros_",0,FALSE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:17:14,FALSE,NA,"1463512034373365766",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","iconxx",22,TRUE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:16:51,FALSE,NA,"1463511940097929222",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","billyrahadian",22,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:16:48,FALSE,NA,"1463511927544369161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","seputaran_bdg",30,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:16:42,FALSE,NA,"1463511902223429642",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","literashit",30,TRUE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:16:34,FALSE,NA,"1463511869117722625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","americanojhoa2x",22,TRUE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:16:15,FALSE,NA,"1463511789048451080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","seputaran_bdg",22,TRUE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:16:00,FALSE,NA,"1463511723139223556",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hyvaikal",22,TRUE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:15:43,FALSE,NA,"1463511654730063872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sandiiSL",22,TRUE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:15:41,FALSE,NA,"1463511646794510340",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bangsul29",22,TRUE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:15:41,FALSE,NA,"1463511643300585482",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_auliadiahmad_",22,TRUE,FALSE,NA,NA
"Golll castillion #PERSIBDAY",FALSE,0,NA,2021-11-24 14:15:39,FALSE,NA,"1463511637801922561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mochramdhani24",0,FALSE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:15:36,FALSE,NA,"1463511624032026631",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","addictwwh",22,TRUE,FALSE,NA,NA
"Asup deui!! Castillion!
#PERSIBDAY",FALSE,0,"webenar",2021-11-24 14:15:32,FALSE,"1463509985208385543","1463511606873051137","1081292391842074624","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","webenar",0,FALSE,FALSE,NA,NA
"RT @persib: YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,0,NA,2021-11-24 14:15:26,FALSE,NA,"1463511581061357571",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BlackShades___",22,TRUE,FALSE,NA,NA
"RT @persib: GOOOOOLLL!! ANOTHER ONE!!

GEOFFREY CASTILLION!

Persiraja 0 - 2 PERSIB

#PERSIBDAY #PERSIBLIVE",FALSE,0,NA,2021-11-24 14:15:24,FALSE,NA,"1463511572823740417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anditasptr_",8,TRUE,FALSE,NA,NA
"RT @persib: GOOOOOLLL!! ANOTHER ONE!!

GEOFFREY CASTILLION!

Persiraja 0 - 2 PERSIB

#PERSIBDAY #PERSIBLIVE",FALSE,0,NA,2021-11-24 14:15:16,FALSE,NA,"1463511538413682694",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","iconxx",8,TRUE,FALSE,NA,NA
"YES! GEOFFREY!

#PERSIBDAY #PERSIBLIVE https://t.co/q5rLgAuxFq",FALSE,183,NA,2021-11-24 14:15:15,FALSE,NA,"1463511537469902856",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","persib",22,FALSE,FALSE,NA,NA
"Enjoy castillion goll na ngenaheun 
#PERSIBDAY",FALSE,0,NA,2021-11-24 14:14:56,FALSE,NA,"1463511457409105920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harus4karater",0,FALSE,FALSE,NA,NA
"RT @persib: GOOOOOLLL!! ANOTHER ONE!!

GEOFFREY CASTILLION!

Persiraja 0 - 2 PERSIB

#PERSIBDAY #PERSIBLIVE",FALSE,0,NA,2021-11-24 14:14:52,FALSE,NA,"1463511438681538565",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fegi_rahmawati",8,TRUE,FALSE,NA,NA
"GOLL Castilion ...
#PERSIBDAY https://t.co/hpGYA51MI9",FALSE,0,NA,2021-11-24 14:14:50,FALSE,NA,"1463511432293597192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bamdros_",0,FALSE,FALSE,NA,NA
"RT @persib: GOOOOOLLL!! ANOTHER ONE!!

GEOFFREY CASTILLION!

Persiraja 0 - 2 PERSIB

#PERSIBDAY #PERSIBLIVE",FALSE,0,NA,2021-11-24 14:14:47,FALSE,NA,"1463511418284564488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yodirvln",8,TRUE,FALSE,NA,NA
"GOOOOOLLL!! ANOTHER ONE!!

GEOFFREY CASTILLION!

Persiraja 0 - 2 PERSIB

#PERSIBDAY #PERSIBLIVE",FALSE,50,"persib",2021-11-24 14:14:11,FALSE,"1463510766061899777","1463511266622771205","14372726","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","persib",8,FALSE,FALSE,NA,NA
"GOLLLL!!!! Castillion!!! #persibday",FALSE,8,NA,2021-11-24 14:14:02,FALSE,NA,"1463511228752400385",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","republikbobot0h",0,FALSE,FALSE,NA,NA
"Gooooool Castillion uy 0-2 #PERSIBDAY",FALSE,1,NA,2021-11-24 14:14:01,FALSE,NA,"1463511225388527616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tribunbobotoh",0,FALSE,FALSE,NA,NA
"castilioooooooonnn 💥 #persibday",FALSE,0,"onieronny",2021-11-24 14:13:59,FALSE,"1463509073010180099","1463511218732224515","22164666","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","onieronny",0,FALSE,FALSE,NA,NA
"CASTILLION GOAL!!! 2-0. #PERSIBDAY",FALSE,7,NA,2021-11-24 14:13:55,FALSE,NA,"1463511199597805569",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LalajoPersib",1,FALSE,FALSE,NA,NA
"Duet Ge Liz is back 😁 #PERSIBDAY",FALSE,0,"sidhartaharr",2021-11-24 14:13:53,FALSE,"1463509060427268101","1463511192828145676","779402378","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sidhartaharr",0,FALSE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:13:50,FALSE,NA,"1463511178802438144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_auliadiahmad_",30,TRUE,FALSE,NA,NA
"Castilion !!!! 😶😶😶

#PERSIBDAY",FALSE,1,NA,2021-11-24 14:13:46,FALSE,NA,"1463511161312210950",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ano_sumarno_",0,FALSE,FALSE,NA,NA
"GOOOOLLL!! CASTILLION!! 2-0 #PERSIBDAY",FALSE,0,NA,2021-11-24 14:13:41,FALSE,NA,"1463511142119079945",NA,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","teguh1995",0,FALSE,FALSE,NA,NA
"Keren ey Castillion
#PersibDay",FALSE,0,NA,2021-11-24 14:13:40,FALSE,NA,"1463511137534676997",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","askabah25",0,FALSE,FALSE,NA,NA
"It's D DAY

#PERSIBDAY",FALSE,0,NA,2021-11-24 14:13:29,FALSE,NA,"1463511092466884619",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheNewRealIS69",0,FALSE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:12:58,FALSE,NA,"1463510960535076864",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","billyrahadian",30,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🔵

All eyes on us...

LET'S WIN THIS!

#PERSIB https://t.co/jwUKZ0hxLS",FALSE,0,NA,2021-11-24 14:12:57,FALSE,NA,"1463510955694821376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ndPlayHard",389,TRUE,FALSE,NA,NA
"Good freekick by Marc Klok! Goal and make it 1-0 for Persib. #PERSIBDAY",FALSE,1,NA,2021-11-24 14:12:43,FALSE,NA,"1463510899184922629",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ikhsanxf",0,FALSE,FALSE,NA,NA
"RT @persib: GOOOOOLL! IT'S MARC KLOK WITH A GLORIOUS FREEKICK!!

Persiraja 0 - 1 PERSIB!

#PERSIBDAY #PERSIBLIVE",FALSE,0,NA,2021-11-24 14:12:32,FALSE,NA,"1463510850732396547",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dikamn18",15,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:12:18,FALSE,NA,"1463510791487778816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","S4ndylesmana",30,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:11:39,FALSE,NA,"1463510628044181516",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DioMahendra824",30,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:11:28,FALSE,NA,"1463510583165087746",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","irwan_panzer",30,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:10:53,FALSE,NA,"1463510435341094916",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bobotoh_kngn",30,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:10:16,FALSE,NA,"1463510283519860736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ssatrianugraha",30,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:10:16,FALSE,NA,"1463510280835502092",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","chevi_ary",30,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:09:58,FALSE,NA,"1463510205216407553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BinAffan19",30,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:08:32,FALSE,NA,"1463509843365412869",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sandipermanaaaa",30,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:07:38,FALSE,NA,"1463509619926470662",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","satriorioman",30,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:07:35,FALSE,NA,"1463509606433320961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bangsul29",30,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:07:31,FALSE,NA,"1463509590314663945",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","iconxx",30,TRUE,FALSE,NA,NA
"RT @persib: GOOOOOLL! IT'S MARC KLOK WITH A GLORIOUS FREEKICK!!

Persiraja 0 - 1 PERSIB!

#PERSIBDAY #PERSIBLIVE",FALSE,0,NA,2021-11-24 14:07:22,FALSE,NA,"1463509553102815233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","americanojhoa2x",15,TRUE,FALSE,NA,NA
"RT @persib: WHAT A FREEKICK! @marcklok10

#PERSIBDAY #PERSIBLIVE https://t.co/Y3rmDSxqd9",FALSE,0,NA,2021-11-24 14:07:17,FALSE,NA,"1463509532693315588",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","addictwwh",30,TRUE,FALSE,NA,NA
